,Food Bank,ID,Total Population,2021 Food Insecurity %,2021 Food Insecurity #,address,city,zip_code,state,statecode,latitude,longitude,lbs_distr,program_budget,metro gdp per capita,estimated_budget,estimated_pounds_per_year
100,"North Country Food Bank, Inc.",119,350545,0.10099999999999999,35510,1011 11th Ave. NE,East Grand Forks,56721,Minnesota,MN,47.9318,-97.0213,,,,15064562.20700013,11016754.739022141
101,"The Foodbank, Inc.",121,739265,0.147,109030,56 Armor Place,Dayton,45417,Ohio,OH,39.7528,-84.24700000000001,,,22932.0,33558832.70438409,20665900.738174126
102,Food Bank of the Albemarle,123,306310,0.157,48010,109 Tidewater Way|P. O. Box 1704,Elizabeth City,27906,North Carolina,NC,36.2854,-76.2133,,,,18208990.67839974,12657319.551173933
103,"Feeding America, Kentucky's Heartland",124,1082878,0.154,166660,"313 Peterson Dr.,|PO Box 821",Elizabethtown,42701,Kentucky,KY,37.6848,-85.8784,,,36189.0,48055905.72892485,28229560.748118754
104,"Tri-State Food Bank, Inc.",126,858132,0.141,120920,2504 Lynch Road,Evansville,47711,Indiana,IN,38.0617,-87.5548,,,48551.0,36549813.0663794,22226405.98749291
105,Shared Harvest Foodbank,129,807128,0.11800000000000001,95040,5901 Dixie Highway,Fairfield,45014,Ohio,OH,39.3266,-84.5479,,,40000.0,30039588.359193638,18829780.60041384
106,Community Food Warehouse of Mercer County,133,111518,0.14300000000000002,15940,109 S Sharpsville Avenue|Suite A,Sharon,16146,Pennsylvania,PA,41.2316,-80.4993,,,,10141644.9921769,8448286.469117293
107,Second Harvest Food Bank of Southeast North Carolina,134,807456,0.179,144390,"406 Deep Creek Road, PO Box 2009",Fayetteville,28302,North Carolina,NC,35.0343,-78.9088,,,38772.0,42453791.9642793,25306730.47878912
108,"Community Harvest Food Bank of Northeast Indiana, Inc.",135,670130,0.126,84730,999 East Tillman Road|P. O. Box 10967,Fort Wayne,46855,Indiana,IN,41.0938,-85.0707,,,45525.0,27446063.75598324,17476642.743351042
109,Fredericksburg Regional Foodbank,136,400848,0.078,31420,3631 Lee Hill Drive|PO Box 1006,Fredericksburg,22408,Virginia,VA,38.2481,-77.4681,,,,14035705.211158179,10479961.932486074
110,Food Bank for Larimer County,137,344786,0.11699999999999999,40320,5706 Wright Drive,Loveland,80538,Colorado,CO,40.4262,-105.09,,,,16274538.282794701,11648044.078738151
111,River Valley Regional Food Bank,138,308042,0.193,59470,1617 South Zero Street|PO Box 180070,Ft. Smith,72918,Arkansas,AR,35.3859,-94.3985,,,,21091802.700978905,14161389.370954698
112,"Food Bank of Northwest Indiana, Inc.",139,654343,0.134,87430,6490 Broadway,Merrillville,46410,Indiana,IN,41.4957,-87.3509,,,,28125260.305805556,17831004.742775828
113,Second Harvest North Central Food Bank,140,208929,0.114,23780,2222 Cromell Drive|PO Box 5130,Grand Rapids,55744,Minnesota,MN,47.2348,-93.5115,,,49791.0,12113830.529438734,9477248.7192989
114,Weld Food Bank,141,305345,0.10800000000000001,33010,1108 H Street,Greeley,80631,Colorado,CO,40.385,-104.6806,,,36065.0,14435676.512720209,10688641.776591782
115,Foodshare,144,1044624,0.136,141980,450 Woodland Avenue,Bloomfield,6002,Connecticut,CT,41.8316,-72.7249,,,,41847546.15499346,24990429.583006255
116,Facing Hunger Foodbank,145,467106,0.166,77560,1327 Seventh Avenue,Huntington,25701,West Virginia,WV,38.4097,-82.4423,,,37111.0,25642419.584788423,16535614.767100774
117,Food Bank of North Alabama,146,1089725,0.157,171440,2000 B. Vernon Ave.|P.O. Box 18607,Huntsville,35805,Alabama,AL,34.7059,-86.6165,,,49792.0,49258335.17638806,28856912.7322856
118,Mississippi Food Network,149,1779960,0.18899999999999997,336960,440 W. Beatty Street|PO Box 411 (39205),Jackson,39201,Mississippi,MS,32.2935,-90.1867,,,29803.0,90895599.22327316,50580615.74887478
119,Food Bank of Northeast Arkansas,151,500090,0.193,96350,3414 One Place|P.O. Box 2097,Jonesboro,72402,Arkansas,AR,35.8088,-90.6529,,,34442.0,30369124.46299632,19001711.79272735
120,Lowcountry Food Bank,152,1471857,0.11,161430,2864 Azalea Drive,Charleston,29405,South Carolina,SC,32.853,-79.9913,,,46498.0,46740276.85649125,27543148.430714443
121,Greater Lansing Food Bank,154,689027,0.14,96260,5600 Food Ct,Bath,48906,Michigan,MI,42.7635,-84.55799999999999,,,,30346484.57800224,18989899.726079855
122,Three Square Food Bank,155,2232533,0.163,363750,4190 N. Pecos Rd.,Las Vegas,89115,Nevada,NV,36.2158,-115.0671,,,43584.0,97634738.3231768,54096674.2542785
123,"God's Pantry Food Bank, Inc.",156,1531884,0.174,266180,1685 Jaggie Fox Way,Lexington,40511,Kentucky,KY,38.0932,-84.5007,,,49568.0,73090587.44681999,41291081.55654647
124,"Food Bank of Lincoln, Inc.",157,470798,0.122,57510,"4840 Doris Bair Circle, Suite A",Lincoln,68504,Nebraska,NE,40.8392,-96.6532,,,52185.0,20598756.316663444,13904148.808409296
125,Middle Georgia Community Food Bank,159,708424,0.156,110560,4490 Ocmulgee East Boulevard|PO Box 5024,Macon,31217,Georgia,GA,32.8118,-83.565,,,36944.0,33943710.749283396,20866705.871181507
126,Second Harvest Foodbank of Southern Wisconsin,160,1277333,0.098,125370,2802 Dairy Drive,Madison,53718,Wisconsin,WI,43.0984,-89.2734,,,66639.0,37669229.602197655,22810447.060618952
127,New Hampshire Food Bank,161,1348124,0.096,129470,700 East Industrial Park Drive,Manchester,3109,New Hampshire,NH,42.9713,-71.4135,,,61273.0,38700602.140816726,23348552.31900474
128,United Food Bank,164,4995930,0.14300000000000002,715480,245 South Nina Drive,Mesa,85210,Arizona,AZ,33.3887,-111.8428,,,44534.0,186113924.4228076,100259543.16453052
129,SE Ohio Foodbank,167,304094,0.175,53200,1005 CIC Drive,Logan,43138,Ohio,OH,39.5372,-82.4126,,,31966.0,19514557.37972486,13338482.061179359
130,Virginia Peninsula Foodbank,168,537162,0.115,61810,2401 Aluminum Avenue,Hampton,23661,Virginia,VA,37.0074,-76.3801,,,,21680439.710824914,14468503.103789514
131,Alameda County Community Food Bank,169,1656754,0.109,180930,7900 Edgewater Drive|P.O. Box 2599,Oakland,94621,California,CA,37.7589,-122.1853,,,89978.0,51645585.271874644,30102429.537671242
132,West Texas Food Bank,170,482450,0.16399999999999998,78900,411 S. Pagewood Ave.,Odessa,79761,Texas,TX,31.8579,-102.3523,,,57678.0,25979502.31692246,16711483.314963445
133,Helping Harvest,175,560699,0.114,63970,117 Morgan Drive,Reading,19608,Pennsylvania,PA,40.3113,-76.0345,,,39188.0,22223796.950682767,14751992.703329343
134,Channel One Food Bank,177,657156,0.087,57000,"131 35th Street, SE",Rochester,55904,Minnesota,MN,44.0105,-92.3973,,,44997.0,20470463.635030344,13837213.764073504
135,Placer Food Bank,178,673319,0.10300000000000001,69160,8284 Industrial Ave,Roseville,95678,California,CA,38.7609,-121.2867,,,46769.0,23529363.652007885,15433155.213334769
