,good,latest_price,min,max,mean,std,min_delta,mean_delta,max_delta,std_delta
0,ffv,1.446,0.9626666666666667,1.446,1.2317627118644074,0.1077512885034763,0.0,0.03157549857549855,0.18799999999999972,0.029127633594346496
1,meat,3.71325,2.5629999999999997,3.71325,2.843222868217053,0.2669741093053131,0.0009999999999998899,0.041800781250000016,0.28100000000000014,0.04746946345101396
2,staples,1.1036666666666666,0.805,1.1036666666666666,0.8813359173126618,0.0520262937016125,0.0,0.008966145833333328,0.04733333333333334,0.008481478988940762
3,gas,4.13,1.833,5.149,2.9839384615384623,0.6795304438291473,0.0,0.1283798449612403,0.726,0.12044556773735121
