Rank,Metropolitan area,"2017 GDP per capita 
(chained 2009 US-Dollars)"
94,"Charlottesville, VA Metropolitan Statistical Area","49,233"
95,"Cheyenne, WY Metropolitan Statistical Area","49,018"
96,"Oklahoma City, OK Metropolitan Statistical Area","48,935"
97,"Beaumont–Port Arthur, TX Metropolitan Statistical Area","48,838"
98,"Birmingham, AL metropolitan area,","48,640"
99,"Evansville, IN-KY Metropolitan Statistical Area","48,551"
100,"Enid, OK Metropolitan Statistical Area","48,493"
101,"Appleton, Wisconsin metropolitan area","48,332"
102,"Farmington, NM Metropolitan Statistical Area","48,331"
103,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","48,140"
104,"Corvallis, OR Metropolitan Statistical Area","48,101"
105,"Grand Forks, ND-MN Metropolitan Statistical Area","47,993"
106,"Ocean City, NJ Metropolitan Statistical Area","47,897"
107,"San Antonio-New Braunfels, TX Metropolitan Statistical Area","47,794"
108,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area","47,721"
109,"Pittsfield, MA Metropolitan Statistical Area","47,689"
110,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area","47,540"
111,"Fairbanks, AK Metropolitan Statistical Area","47,506"
112,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","47,426"
113,"Salinas, CA Metropolitan Statistical Area","47,349"
114,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area","47,148"
115,"Bend, OR Metropolitan Statistical Area","46,982"
116,"Toledo, OH Metropolitan Statistical Area","46,880"
117,"Sacramento-Roseville-Arden-Arcade, CA Metropolitan Statistical Area","46,769"
118,"Greensboro-High Point, NC Metropolitan Statistical Area","46,764"
119,"Mankato-North Mankato, MN Metropolitan Statistical Area","46,697"
120,"Charleston-North Charleston, SC Metropolitan Statistical Area","46,498"
121,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","46,376"
122,"Lancaster, PA Metropolitan Statistical Area","46,362"
123,"Amarillo, TX metropolitan area","46,195"
124,"Crestview–Fort Walton Beach–Destin, FL, Metropolitan Statistical Area","46,159"
125,"Barnstable Town, MA Metropolitan Statistical Area","46,085"
126,"Akron, OH metropolitan area","46,036"
127,"Memphis, TN-MS-AR Metropolitan Statistical Area","46,029"
128,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","45,938"
129,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area","45,907"
130,"Wichita, KS Metropolitan Statistical Area","45,862"
131,"New Haven-Milford, CT Metropolitan Statistical Area","45,840"
132,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","45,807"
132,"Shreveport-Bossier City, LA Metropolitan Statistical Area","45,807"
134,"Ames, IA Metropolitan Statistical Area","45,750"
135,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","45,622"
136,"Victoria, TX metropolitan statistical area","45,609"
137,"Fort Wayne, IN Metropolitan Statistical Area","45,525"
138,"Lima, OH Metropolitan Statistical Area","45,497"
139,"Jackson, MS Metropolitan Statistical Area","45,390"
140,"Watertown-Fort Drum, NY Metropolitan Statistical Area","45,293"
141,"Grand Island, NE Metropolitan Statistical Area","45,272"
142,"Rochester, NY Metropolitan Statistical Area","44,997"
143,"Buffalo-Cheektowaga-Niagara Falls, NY","44,843"
144,"Eau Claire, WI Metropolitan Statistical Area","44,698"
145,"Columbia, MO Metropolitan Statistical Area","44,669"
146,"Syracuse, NY Metropolitan Statistical Area","44,643"
147,"St. Cloud, MN Metropolitan Statistical Area","44,624"
148,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","44,534"
149,"Providence-Warwick, RI-MA Metropolitan Statistical Area","44,253"
150,"Dayton, OH Metropolitan Statistical Area","44,058"
151,"Peoria, IL metropolitan statistical area","43,939"
152,"Champaign-Urbana, IL Metropolitan Statistical Area","43,908"
153,"Fort Collins, CO Metropolitan Statistical Area","43,820"
154,"Jacksonville, FL Metropolitan Statistical Area","43,741"
155,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","43,584"
156,"Jackson, TN Metropolitan Statistical Area","43,555"
157,"Kalamazoo-Portage, MI Metropolitan Statistical Area","43,240"
158,"Columbia, SC metropolitan statistical area","42,933"
159,"Wichita Falls, TX Metropolitan Statistical Area","42,871"
160,"Fond du Lac, WI Metropolitan Statistical Area","42,788"
161,"Wilmington, NC Metropolitan Statistical Area","42,349"
162,"Bloomsburg-Berwick, PA Metropolitan Statistical Area","42,347"
163,"Winchester, VA-WV Metropolitan Statistical Area","42,302"
164,"Albuquerque, NM metropolitan area","42,299"
165,"Springfield, IL Metropolitan Statistical Area","42,225"
166,"Roanoke, VA Metropolitan Statistical Area","42,222"
167,"Salisbury, MD-DE Metropolitan Statistical Area","42,101"
168,"Chattanooga, TN-GA Metropolitan Statistical Area","42,090"
169,"Parkersburg-Vienna, WV Metropolitan Statistical Area","42,058"
170,"Longview, TX Metropolitan Statistical Area","42,012"
171,"Tuscaloosa, AL Metropolitan Statistical Area","42,004"
172,"Jefferson City, MO Metropolitan Statistical Area","41,982"
173,"Ithaca, NY Metropolitan Statistical Area","41,897"
174,"Bellingham, WA Metropolitan Statistical Area","41,895"
175,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area","41,859"
176,"Idaho Falls, ID Metropolitan Statistical Area","41,845"
177,"Santa Fe, NM Metropolitan Statistical Area","41,838"
178,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area","41,741"
179,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area","41,617"
180,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area","41,613"
181,"Duluth, MN-WI Metropolitan Statistical Area","41,479"
182,"Boise City, ID Metropolitan Statistical Area","41,453"
183,"Gainesville, GA Metropolitan Statistical Area","41,403"
184,"Corpus Christi, TX Metropolitan Statistical Area","41,272"
185,"Spartanburg, SC Metropolitan Statistical Area","41,250"
186,"Knoxville, TN Metropolitan Statistical Area","41,248"
187,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","41,222"
